时间,油底壳温度,目标挡位,实际挡位,输入转速,涡轮转速,输出转速
46:29.8,80,0,0,0,0,0
46:29.8,80,0,0,0,0,0
46:29.8,80,0,0,0,0,0
46:29.9,80,0,0,0,0,0
46:29.9,80,0,0,0,0,0
46:29.9,80,0,0,0,0,0
46:29.9,80,0,0,0,0,0
46:29.9,80,0,0,0,0,0
46:29.9,80,0,0,0,0,0
46:29.9,80,0,0,0,0,0
46:29.9,80,0,0,0,0,0
46:29.9,80,0,0,0,0,0
46:29.9,80,0,0,0,0,0
46:30.0,80,0,0,0,0,0
46:30.0,80,0,0,0,0,0
46:30.0,80,0,0,0,0,0
46:30.0,80,0,0,0,0,0
46:30.0,80,0,0,0,0,0
46:30.0,80,0,0,0,0,0
46:30.0,80,0,0,0,0,0
46:30.0,80,0,0,0,0,0
46:30.0,80,0,0,0,0,0
46:30.0,80,0,0,0,0,0
46:30.1,80,0,0,0,0,0
46:30.1,80,0,0,0,0,0
46:30.1,80,0,0,0,0,0
46:30.1,80,0,0,0,0,0
46:30.1,80,0,0,0,0,0
46:30.1,80,0,0,0,0,0
46:30.1,80,0,0,0,0,0
46:30.1,80,0,0,0,0,0
46:30.1,80,0,0,0,0,0
46:30.1,80,0,0,0,0,0
46:30.2,80,0,0,0,0,0
46:30.2,80,0,0,0,0,0
46:30.2,80,0,0,0,0,0
46:30.2,80,0,0,0,0,0
46:30.2,80,0,0,0,0,0
46:30.2,80,0,0,0,0,0
46:30.2,80,0,0,0,0,0
46:30.2,80,0,0,0,0,0
46:30.2,80,0,0,0,0,0
46:30.2,80,0,0,0,0,0
46:30.3,80,0,0,0,0,0
46:30.3,80,0,0,0,0,0
46:30.3,80,0,0,0,0,0
46:30.3,80,0,0,0,0,0
24:44.2,77,0,0,600,608,26
24:44.3,77,0,0,600,608,26
24:44.3,77,0,0,600,608,26
24:44.3,77,0,0,600,607,26
24:44.3,77,0,0,600,607,26
24:44.3,77,0,0,598,605,26
24:44.3,77,0,0,598,605,26
24:44.3,77,0,0,598,607,26
24:44.3,77,0,0,598,607,26
24:44.3,77,0,0,598,609,26
24:44.4,77,0,0,598,609,26
24:44.4,77,0,0,598,609,26
24:44.4,77,0,0,598,609,26
24:44.4,77,0,0,598,608,26
24:44.4,77,0,0,598,608,26
24:44.4,77,0,0,598,608,26
24:44.4,77,0,0,598,608,26
24:44.4,77,0,0,598,608,26
