时间,油底壳温度,目标挡位,实际挡位,输入转速,涡轮转速,输出转速
23:25.9,85,0,0,598,592,22
23:25.9,85,0,0,598,592,22
23:25.9,85,0,0,598,593,22
23:25.9,85,0,0,598,593,22
23:25.9,85,0,0,598,595,22
23:26.0,85,0,0,598,595,22
23:26.0,85,0,0,600,594,22
23:26.0,85,0,0,600,594,22
23:26.0,85,0,0,600,593,22
23:26.0,85,0,0,600,593,22
23:26.0,85,0,0,598,592,22
23:26.0,85,0,0,598,592,22
23:26.0,85,0,0,598,592,22
23:26.0,85,0,0,598,592,22
23:26.0,85,0,0,600,591,22
23:26.1,85,0,0,600,591,22
23:26.1,85,0,0,600,590,22
23:26.1,85,0,0,600,590,22
23:26.1,85,0,0,598,592,22
23:26.1,85,0,0,598,592,22
23:26.1,85,0,0,598,592,22
23:26.1,85,0,0,598,592,22
23:26.1,85,0,0,598,590,22
23:26.1,85,0,0,598,589,22
23:26.2,85,0,0,598,589,22
23:26.2,85,0,0,598,591,22
23:26.2,85,0,0,598,591,22
23:26.2,85,0,0,598,592,22
23:26.2,85,0,0,598,592,22
23:26.2,85,0,0,600,592,22
23:26.2,85,0,0,600,592,22
23:26.2,85,0,0,600,591,22
23:26.2,85,0,0,600,591,22
23:26.2,85,0,0,598,593,22
23:26.3,85,0,0,598,593,22
23:26.3,85,0,0,598,594,22
23:26.3,85,0,0,598,594,22
23:26.3,85,0,0,598,594,22
23:26.3,85,0,0,598,594,22
23:26.3,85,0,0,598,592,22
23:26.3,85,0,0,598,592,22
23:26.3,85,0,0,598,591,22
23:26.3,85,0,0,598,591,22
23:26.3,85,0,0,600,592,22
23:26.4,85,0,0,600,592,22
23:26.4,85,0,0,600,592,22
23:26.4,85,0,0,600,592,22
23:26.4,85,0,0,598,592,22
23:26.4,85,0,0,598,592,22
23:26.4,85,0,0,598,592,22
23:26.4,85,0,0,598,592,22
23:26.4,85,0,0,598,590,22
23:26.4,85,0,0,598,590,22
23:26.4,85,0,0,598,589,22
23:26.5,85,0,0,598,589,22
23:26.5,85,0,0,598,589,22
23:26.5,85,0,0,598,589,22
23:26.5,85,0,0,598,591,22
23:26.5,85,0,0,598,591,22
23:26.5,85,0,0,598,591,22
23:26.5,85,0,0,598,591,22
23:26.5,85,0,0,600,590,22
23:26.5,85,0,0,600,590,22
23:26.5,85,0,0,600,591,22
23:26.6,85,0,0,600,591,22
23:26.6,85,0,0,600,593,22
23:26.6,85,0,0,600,593,22
23:26.6,85,0,0,600,593,22
23:26.6,85,0,0,600,593,22
23:26.6,85,0,0,600,593,22
23:26.6,85,0,0,600,593,22
23:26.6,85,0,0,600,592,22
23:26.6,85,0,0,600,592,22
23:26.7,85,0,0,598,594,20
23:26.7,85,0,0,598,595,20
23:26.7,85,0,0,598,595,20
23:26.7,85,0,0,598,593,20
23:26.7,85,0,0,598,593,20
23:26.7,85,0,0,598,592,20
23:26.7,85,0,0,598,592,20
23:26.7,85,0,0,598,591,20
23:26.7,85,0,0,598,591,20
23:26.7,85,0,0,600,591,20
23:26.8,85,0,0,600,591,20
23:26.8,85,0,0,600,589,20
23:26.8,85,0,0,600,589,20
23:26.8,85,0,0,598,590,20
23:26.8,85,0,0,598,590,20
23:26.8,85,0,0,598,592,20
23:26.8,85,0,0,598,592,20
23:26.8,85,0,0,598,591,20
23:26.8,85,0,0,598,591,20
23:26.8,85,0,0,598,590,20
23:26.9,85,0,0,598,590,20
23:26.9,85,0,0,598,592,20
23:26.9,85,0,0,598,592,20
23:26.9,85,0,0,598,592,20
23:26.9,85,0,0,598,592,20
23:26.9,85,0,0,598,592,20
23:26.9,85,0,0,598,592,20
23:26.9,85,0,0,598,591,20
23:26.9,85,0,0,598,591,20
23:26.9,85,0,0,598,594,20
23:27.0,85,0,0,598,594,20
23:27.0,85,0,0,598,595,20
23:27.0,85,0,0,598,595,20
23:27.0,85,0,0,598,595,20
23:27.0,85,0,0,598,595,20
23:27.0,85,0,0,600,594,22
23:27.0,85,0,0,600,594,22
23:27.0,85,0,0,600,592,22
23:27.0,85,0,0,600,592,22
23:27.0,85,0,0,600,593,22
23:27.1,85,0,0,600,593,22
23:27.1,85,0,0,600,593,22
23:27.1,85,0,0,600,593,22
23:27.1,85,0,0,600,592,22
23:27.1,85,0,0,600,592,22
23:27.1,85,0,0,600,592,22
23:27.1,85,0,0,600,592,22
23:27.1,85,0,0,600,592,22
23:27.1,85,0,0,600,592,22
23:27.1,85,0,0,600,591,22
23:27.2,85,0,0,598,590,22
23:27.2,85,0,0,598,590,22
23:27.2,85,0,0,598,591,22
23:27.2,85,0,0,598,591,22
23:27.2,85,0,0,600,592,22
23:27.2,85,0,0,600,592,22
23:27.2,85,0,0,600,591,22
23:27.2,85,0,0,600,591,22
23:27.2,85,0,0,598,591,22
23:27.3,85,0,0,598,591,22
23:27.3,85,0,0,598,594,22
23:27.3,85,0,0,598,594,22
23:27.3,85,0,0,598,594,22
23:27.3,85,0,0,598,594,22
23:27.3,85,0,0,598,593,22
23:27.3,85,0,0,598,593,22
23:27.3,85,0,0,600,592,22
23:27.3,85,0,0,600,592,22
23:27.3,85,0,0,600,594,22
23:27.4,85,0,0,600,594,22
23:27.4,85,0,0,598,594,22
23:27.4,85,0,0,598,594,22
23:27.4,85,0,0,598,594,22
23:27.4,85,0,0,598,594,22
23:27.4,85,0,0,598,593,22
23:27.4,85,0,0,598,593,22
23:27.4,85,0,0,598,592,22
23:27.4,85,0,0,598,592,22
23:27.4,85,0,0,598,590,22
23:27.5,85,0,0,598,590,22
23:27.5,85,0,0,600,590,24
23:27.5,85,0,0,600,590,24
23:27.5,85,0,0,600,590,24
23:27.5,85,0,0,600,590,24
23:27.5,85,0,0,598,592,24
23:27.5,85,0,0,598,592,24
23:27.5,85,0,0,598,592,24
23:27.5,85,0,0,598,592,24
23:27.5,85,0,0,598,591,24
23:27.6,85,0,0,598,591,24
23:27.6,85,0,0,598,592,24
23:27.6,85,0,0,598,592,24
